file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,18
style.css,53,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,14
style.css,54,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,20
style.css,55,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,11
style.css,56,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,11
style.css,57,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,0
style.css,58,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,20
style.css,59,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,13
style.css,60,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,19
style.css,61,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,8
style.css,62,css,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,0
style.css,63,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,17
style.css,64,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,18
style.css,65,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,7
style.css,66,css,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,14
style.css,67,css,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,0
index.js,1,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,72
index.js,2,js,04a44184,vsomani0,2025-04-24,09:59:23,-07:00,2025-04-24T09:59:23-07:00,0,0
index.js,3,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,55
index.js,4,js,04a44184,vsomani0,2025-04-24,09:59:23,-07:00,2025-04-24T09:59:23-07:00,0,43
index.js,5,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,61
index.js,6,js,04a44184,vsomani0,2025-04-24,09:59:23,-07:00,2025-04-24T09:59:23-07:00,0,23
index.js,7,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,61
index.js,8,js,04a44184,vsomani0,2025-04-24,09:59:23,-07:00,2025-04-24T09:59:23-07:00,0,0
index.js,9,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,52
index.js,10,js,bcdb2ff1,vsomani0,2025-05-06,13:29:54,-07:00,2025-05-06T13:29:54-07:00,0,61
index.js,11,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,18
index.js,12,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,25
index.js,13,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,3
index.js,14,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,56
index.js,15,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,56
index.js,16,js,2b38ef5e,vsomani0,2025-04-24,16:31:47,-07:00,2025-04-24T16:31:47-07:00,0,50
